economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population
ABW,2010,0.0204920878910203,35.8387034450523,24093.1401510626,101838.0
ABW,2011,0.0203949029261921,36.0007394161429,25712.3843015186,102591.0
ABW,2012,0.0214687486582032,36.1747914800401,25119.6655449838,104110.0
ABW,2013,0.0178174631618829,36.3617085644674,25813.5714408438,105675.0
ABW,2014,0.0148129732019303,36.5607468696205,26129.8390617693,106807.0
ABW,2015,0.0125197907912791,36.7711625956947,27458.2201537506,107906.0
ABW,2016,0.018611754127868,36.9922119428858,27441.5502144601,108727.0
ABW,2017,0.023918578557175,37.2231511113891,28440.0416881491,108735.0
ABW,2018,0.0222530069695395,37.4632363014004,30082.1584226798,108908.0
ABW,2019,0.0184193332670534,37.711723713115,30654.4851235397,109203.0
ABW,2020,0.0215538601290844,37.9971162433635,22664.3709949437,108587.0
ABW,2021,0.029903187516918,38.0724660113157,26827.3447869986,107700.0
ABW,2022,0.0341749381905228,38.1188342075743,31000.5713798732,107310.0
ABW,2023,0.0395294607296221,38.1648507324411,34897.6183932009,107359.0
AFG,2010,26.2100685374552,77.7385200989076,560.621505463146,28284089.0
AFG,2011,23.7436639877543,77.1794308427515,606.694676337726,29347708.0
AFG,2012,24.390873626371,76.6565608689021,651.417134470046,30560034.0
AFG,2013,22.8106627361766,76.1922863256354,637.087099117099,31622704.0
AFG,2014,22.1370413719574,75.8089833612274,625.054941813938,32792523.0
AFG,2015,20.6343227166798,75.5350881578432,565.569730408751,33831764.0
AFG,2016,25.7403140364582,75.3411654279874,522.082215583898,34700612.0
AFG,2017,26.4201990834448,75.1647178761129,525.469770891619,35688935.0
AFG,2018,22.0428967527575,75.0008354808594,491.337221382603,36743039.0
AFG,2019,25.7739707394105,74.8562741160197,496.6025042585,37856121.0
AFG,2020,29.9755825210461,74.7377896553863,510.787063366811,39068979.0
AFG,2021,33.5976188725451,74.6521379727519,356.496214115892,40000412.0
AFG,2022,33.7014323213923,74.6060749419091,357.261152798144,40578842.0
AFG,2023,34.7432471445174,74.5269470368833,413.757894705303,41454761.0
AGO,2010,10.0913068589156,39.8689710464947,4101.63715564669,23294825.0
AGO,2011,9.55630602212879,39.1568389603927,5184.15269151846,24218352.0
AGO,2012,9.69697932366603,38.4885776050668,5702.45306277434,25177394.0
AGO,2013,10.3295507034721,37.8666924787639,5688.57916213471,26165620.0
AGO,2014,11.4782158930435,37.276884206759,5649.68762467535,27160769.0
AGO,2015,13.663772327968,36.48432167315,3641.72893920253,28157798.0
AGO,2016,14.4558424371022,35.7007697482011,2082.37343594705,29183070.0
AGO,2017,14.709941688499,34.9149474913932,2832.14997950512,30234839.0
