economy,year,new_displacements
SOM,2013,59500
SOM,2014,36040
SOM,2015,59420
SOM,2016,70000
SOM,2017,892410
SOM,2018,547140
SOM,2019,476082
SOM,2020,1037200
SOM,2021,271353
SOM,2022,1151161
SOM,2023,2041961
SOM,2024,156068
SRB,2010,3000
SRB,2013,194
SRB,2014,33360
SRB,2016,39
SRB,2017,42
SRB,2018,125
SRB,2019,292
SRB,2020,880
SRB,2021,34
SRB,2022,1
SRB,2023,404
SRB,2024,1
SSD,2012,340000
SSD,2013,116000
SSD,2014,112500
SSD,2015,15000
SSD,2017,74980
SSD,2018,6602
SSD,2019,294990
SSD,2020,442600
SSD,2021,506000
SSD,2022,595640
SSD,2023,167556
SSD,2024,423292
STP,2021,500
STP,2022,240
SUR,2013,300
SUR,2017,6000
SUR,2021,6500
SUR,2022,1500
SVK,2018,270
SVK,2020,60
SVK,2023,42
SVK,2024,120
SVN,2018,336
SVN,2022,500
SVN,2023,8147
SVN,2024,20
SWE,2014,1000
SWE,2015,100
SWE,2018,126
SWE,2019,47
SWZ,2018,111
SWZ,2021,100
SWZ,2022,360
SWZ,2024,417
SXM,2017,13000
SYC,2013,1100
SYC,2014,7
SYC,2016,20
SYR,2014,2300
SYR,2017,2300
SYR,2018,26611
SYR,2019,16800
SYR,2020,25000
SYR,2021,87200
SYR,2022,20580
SYR,2023,24230
TCA,2016,100
TCA,2017,60
TCA,2022,160
TCD,2010,70000
TCD,2012,500000
TCD,2013,89000
TCD,2014,9900
TCD,2016,5600
TCD,2018,2000
TCD,2019,31170
TCD,2020,71780
TCD,2021,24141
TCD,2022,158000
TCD,2023,15450
TCD,2024,1326000
TGO,2010,50000
TGO,2013,120
TGO,2015,5000
TGO,2017,50
TGO,2022,16000
TGO,2024,9
THA,2010,1000000
THA,2011,1645000
THA,2012,3400
THA,2013,13228
THA,2014,27173
THA,2015,240
THA,2016,90307
THA,2017,50180
THA,2018,4658
THA,2019,61910
THA,2020,13537
THA,2021,9436
THA,2022,22105
THA,2023,2741
THA,2024,41255
TJK,2010,875
TJK,2012,390
TJK,2014,457
TJK,2015,10000
TJK,2016,2400
TJK,2017,4670
TJK,2018,5400
TJK,2019,4800
TJK,2020,1500
TJK,2021,780
TJK,2022,254
TJK,2023,3190
TJK,2024,1020
TLS,2013,1294
TLS,2014,2333
TLS,2015,301
TLS,2016,112
TLS,2020,1177
TLS,2021,16000
TLS,2024,2062
TON,2012,400
TON,2013,17
TON,2014,5300
TON,2016,3000
TON,2018,5700
TON,2020,2700
TON,2024,29
TTO,2013,29
TTO,2017,200
TTO,2018,820
TTO,2019,48
TTO,2020,33
TTO,2022,40
TTO,2024,130
TUN,2015,120
TUN,2017,990
TUN,2018,3368
TUN,2019,32
TUN,2020,10000
TUN,2021,1204
TUN,2022,2032
TUN,2023,2640
TUR,2010,200
TUR,2015,1500
TUR,2016,200
TUR,2018,628
TUR,2019,528
TUR,2020,1226
TUR,2021,84446
TUR,2022,5831
TUR,2023,5641
TUR,2024,8444
TUV,2015,5400
TUV,2020,200
TWN,2012,6000
TWN,2013,22020
TWN,2014,9400
TWN,2015,27170
TWN,2016,43600
TWN,2017,20601
TWN,2018,17900
TWN,2019,13211
TWN,2020,3555
TWN,2021,10660
TWN,2022,1710
TWN,2023,17499
TWN,2024,38000
TZA,2011,22000
TZA,2012,10000
TZA,2014,13650
TZA,2015,3500
TZA,2016,25800
TZA,2017,1890
TZA,2018,26320
TZA,2019,10710
TZA,2020,56711
TZA,2021,47140
TZA,2022,4210
TZA,2023,45650
TZA,2024,91152
UGA,2011,6400
UGA,2012,220
UGA,2013,30000
UGA,2014,50160
UGA,2015,600
UGA,2016,1300
UGA,2017,95070
UGA,2018,164561
UGA,2019,90260
UGA,2020,70384
UGA,2021,46719
UGA,2022,33478
UGA,2023,49959
UGA,2024,97796
UKR,2013,600
UKR,2016,130
UKR,2020,2030
UKR,2021,2010
UKR,2022,1
UKR,2023,602
UKR,2024,755
URY,2013,1000
URY,2014,4940
URY,2015,24000
URY,2016,12250
URY,2017,9170
URY,2018,301
URY,2019,21550
URY,2020,364
URY,2021,152
URY,2022,791
URY,2023,4321
URY,2024,19967
USA,2011,52070
USA,2012,901624
USA,2013,187022
USA,2014,34157
USA,2015,63403
USA,2016,1125931
USA,2017,1581301
USA,2018,1244611
USA,2019,916444
USA,2020,1715088
USA,2021,572132
USA,2022,674039
USA,2023,200420
USA,2024,10999688
UZB,2020,70000
UZB,2022,168
UZB,2024,360
VCT,2010,100
VCT,2013,2300
VCT,2016,630
VCT,2017,20
VCT,2019,230
VCT,2022,3
VCT,2023,150
VCT,2024,1800
VEN,2010,102000
VEN,2012,1000
VEN,2015,45180
VEN,2016,226
VEN,2017,2100
VEN,2018,31708
VEN,2019,320
VEN,2020,2338
VEN,2021,32200
VEN,2022,13369
VEN,2023,734
VEN,2024,2882
VGB,2017,6000
VIR,2017,2290
VNM,2010,442500
VNM,2011,230000
VNM,2012,15000
VNM,2013,1040500
VNM,2014,68000
VNM,2015,9515
VNM,2016,79657
VNM,2017,634655
VNM,2018,143273
VNM,2019,89266
VNM,2020,1264553
VNM,2021,779271
VNM,2022,353134
VNM,2023,68844
VNM,2024,284390
VUT,2011,400
VUT,2012,700
VUT,2013,69
VUT,2014,350
VUT,2015,65000
VUT,2017,3390
VUT,2018,670
VUT,2019,1000
VUT,2020,80000
VUT,2022,382
VUT,2023,67900
WSM,2012,7700
WSM,2014,86
WSM,2015,960
WSM,2016,63
WSM,2018,330
WSM,2020,55
WSM,2022,14
WSM,2023,14
XKX,2013,1000
XKX,2016,10
XKX,2021,70
XKX,2022,116
XKX,2023,1040
YEM,2010,1000
YEM,2013,10040
YEM,2015,83000
YEM,2016,45340
YEM,2017,13
YEM,2018,22000
YEM,2019,31772
YEM,2020,223140
YEM,2021,84030
YEM,2022,171200
YEM,2023,240192
YEM,2024,492647
ZAF,2010,6000
ZAF,2011,52000
ZAF,2012,2000
ZAF,2013,17720
ZAF,2014,3500
ZAF,2015,14
ZAF,2016,12200
ZAF,2017,14668
ZAF,2018,2058
ZAF,2019,5144
ZAF,2020,374
ZAF,2021,10273
ZAF,2022,61200
ZAF,2023,20374
ZAF,2024,36488
ZMB,2010,150
ZMB,2013,5500
ZMB,2014,25930
ZMB,2015,25
ZMB,2017,2824
ZMB,2018,21
ZMB,2019,1353
ZMB,2020,7260
ZMB,2021,1353
ZMB,2022,3600
ZMB,2023,9377
ZMB,2024,168445
ZWE,2013,44000
ZWE,2014,22514
ZWE,2015,800
ZWE,2016,400
ZWE,2017,10300
ZWE,2018,1066
ZWE,2019,52400
ZWE,2020,3905
ZWE,2021,2314
ZWE,2022,1270
ZWE,2023,691
ZWE,2024,92337
