economy,year,new_displacements
COD,2022,424416
COD,2023,133411
COD,2024,749598
COG,2019,166002
COG,2021,6700
COG,2022,42000
COG,2023,158120
COK,2010,650
COK,2016,6
COK,2021,12
COK,2022,7
COL,2010,3000000
COL,2011,149000
COL,2012,64000
COL,2013,9187
COL,2014,7518
COL,2015,4529
COL,2016,31210
COL,2017,24730
COL,2018,66793
COL,2019,35749
COL,2020,63518
COL,2021,31191
COL,2022,281129
COL,2023,349447
COL,2024,91719
COM,2012,11000
COM,2014,9000
COM,2017,94
COM,2019,19000
COM,2024,1022
CPV,2015,190
CPV,2020,750
CRI,2011,2100
CRI,2012,2000
CRI,2013,45
CRI,2015,1100
CRI,2016,5772
CRI,2017,21341
CRI,2018,5699
CRI,2019,389
CRI,2020,4258
CRI,2021,287
CRI,2022,1620
CRI,2023,290
CRI,2024,6044
CUB,2012,351500
CUB,2015,2000
CUB,2016,1079000
CUB,2017,1738000
CUB,2018,52820
CUB,2019,9900
CUB,2020,639643
CUB,2021,194000
CUB,2022,89900
CUB,2023,42070
CUB,2024,480030
CYM,2021,41
CYM,2024,110
CYP,2016,40
CYP,2018,8
CYP,2021,59
CYP,2022,54
CYP,2023,57
CYP,2024,1492
CZE,2013,26000
CZE,2018,12
CZE,2020,43
CZE,2021,2820
CZE,2023,64
CZE,2024,21036
DEU,2013,53000
DEU,2016,2000
DEU,2017,218
DEU,2018,509
DEU,2019,680
DEU,2020,2
DEU,2021,17290
DEU,2022,630
DEU,2023,3340
DEU,2024,6950
DJI,2018,9400
DJI,2019,10000
DJI,2020,11
DJI,2022,6100
DJI,2024,430
DMA,2011,96
DMA,2013,18
DMA,2015,710
DMA,2017,35000
DMA,2018,346
DNK,2022,20
DNK,2023,523
DNK,2024,8
DOM,2011,16900
DOM,2012,43200
DOM,2013,14230
DOM,2014,11450
DOM,2015,27810
DOM,2016,94000
DOM,2017,69200
DOM,2018,27560
DOM,2019,4900
DOM,2020,30900
DOM,2021,10380
DOM,2022,54240
DOM,2023,41405
DOM,2024,3800
DZA,2013,340
DZA,2015,19300
DZA,2016,2000
DZA,2018,19
DZA,2019,3202
DZA,2020,46
DZA,2021,6649
DZA,2022,2000
DZA,2023,22624
DZA,2024,14918
ECU,2010,500
ECU,2012,4800
ECU,2013,7300
ECU,2014,560
ECU,2015,1500
ECU,2016,17311
ECU,2017,2922
ECU,2018,1148
ECU,2019,1502
ECU,2020,1200
ECU,2021,4864
ECU,2022,1052
ECU,2023,15052
ECU,2024,4397
EGY,2014,200
EGY,2015,100
EGY,2016,820
EGY,2018,8
EGY,2020,8400
EGY,2021,1100
EGY,2023,8
ERI,2013,100
ESP,2012,22000
ESP,2013,2590
ESP,2014,3799
ESP,2015,4160
ESP,2016,10790
ESP,2017,7303
ESP,2018,5092
ESP,2019,28433
ESP,2020,7826
ESP,2021,9257
ESP,2022,33959
ESP,2023,28316
ESP,2024,13700
ETH,2010,10000
ETH,2012,20000
ETH,2013,61500
ETH,2014,49440
ETH,2015,101070
ETH,2016,347000
ETH,2017,433970
ETH,2018,295650
ETH,2019,503602
ETH,2020,663700
ETH,2021,239910
ETH,2022,872590
ETH,2023,617122
ETH,2024,217831
FIN,2013,30
FIN,2018,51
FIN,2022,8
FIN,2023,2
FIN,2024,11
FJI,2010,18000
FJI,2012,27000
FJI,2014,800
FJI,2016,76100
FJI,2017,350
FJI,2018,10000
FJI,2019,5582
FJI,2020,36135
FJI,2021,14019
FJI,2022,4744
FJI,2023,6750
FJI,2024,763
FRA,2010,4500
FRA,2013,6696
FRA,2014,4102
FRA,2015,120
FRA,2016,190
FRA,2017,21300
FRA,2018,6351
FRA,2019,4118
FRA,2020,10309
FRA,2021,9068
FRA,2022,44589
FRA,2023,7395
FRA,2024,3966
FSM,2015,6800
FSM,2023,5
GAB,2012,1600
GAB,2013,1760
GAB,2017,8
GAB,2020,2
GAB,2023,900
GAB,2024,18
GBR,2012,300
GBR,2013,20252
GBR,2014,620
GBR,2015,6100
GBR,2016,1169
GBR,2017,6189
GBR,2018,168
GBR,2019,11977
GBR,2020,7875
GBR,2021,512
GBR,2022,1870
GBR,2023,4629
GBR,2024,1403
GEO,2013,1500
GEO,2014,120
GEO,2015,1234
GEO,2018,304
GEO,2020,160
GEO,2021,85
GEO,2022,330
GEO,2023,846
GEO,2024,295
GHA,2011,49000
GHA,2013,30600
GHA,2015,9300
GHA,2016,7000
GHA,2017,23182
GHA,2018,61240
GHA,2019,15942
GHA,2020,1950
GHA,2021,12030
GHA,2022,2738
GHA,2023,46520
GHA,2024,1820
GIN,2011,4500
GIN,2013,300
GIN,2015,34570
GIN,2016,483
GIN,2017,718
GIN,2018,3800
GIN,2019,18
GIN,2020,2390
GIN,2021,2600
GIN,2022,340
GIN,2023,35000
GIN,2024,5160
GLP,2022,140
GMB,2010,25000
GMB,2012,7700
GMB,2013,400
GMB,2016,4600
GMB,2017,878
GMB,2019,4000
GMB,2020,17600
GMB,2021,2390
GMB,2022,7000
GMB,2023,5300
GMB,2024,7500
GNB,2010,2000
GNB,2018,3700
GNB,2019,410
GNB,2024,1000
GRC,2013,60
GRC,2015,270
GRC,2016,2921
GRC,2018,9212
GRC,2019,2800
GRC,2020,11947
GRC,2021,58656
GRC,2022,710
GRC,2023,125838
GRC,2024,60351
GRD,2017,146
GRD,2018,27
GRD,2019,26
GRD,2024,3100
GRL,2018,170
GTM,2010,163000
GTM,2011,29100
GTM,2014,480
GTM,2015,2850
GTM,2016,1710
GTM,2017,44920
GTM,2018,9820
GTM,2019,20500
GTM,2020,338510
GTM,2021,15384
GTM,2022,73139
GTM,2023,46941
GTM,2024,80992
GUF,2020,140
GUM,2018,2390
GUM,2019,449
GUM,2023,1540
GUY,2017,195
GUY,2018,168
GUY,2021,220
GUY,2022,120
GUY,2023,40
GUY,2024,32
HKG,2016,220
HKG,2017,3290
HKG,2018,1400
HKG,2019,200
HKG,2020,160
HKG,2021,400
HKG,2022,328
HKG,2023,1260
HKG,2024,390
HND,2010,8000
HND,2011,12000
HND,2014,2500
HND,2015,2020
HND,2016,739
HND,2018,17450
HND,2019,386
HND,2020,937280
HND,2021,267
HND,2022,45529
HND,2023,5556
HND,2024,20274
HRV,2014,18000
HRV,2015,1010
HRV,2017,233
HRV,2018,139
HRV,2022,100
HRV,2023,86
HRV,2024,7
HTI,2010,73000
HTI,2011,500
HTI,2012,86100
HTI,2013,1100
HTI,2014,6500
HTI,2015,1500
HTI,2016,355708
HTI,2017,15040
HTI,2018,225
HTI,2019,1207
HTI,2020,12960
HTI,2021,560
HTI,2022,11267
HTI,2023,9600
HTI,2024,4803
HUN,2013,1300
HUN,2014,296
HUN,2017,96
HUN,2019,110
HUN,2020,14
HUN,2023,66
HUN,2024,8
IDN,2010,230
IDN,2011,2000
IDN,2012,103230
IDN,2013,316987
IDN,2014,764284
IDN,2015,169683
IDN,2016,1186612
IDN,2017,210270
IDN,2018,80916
IDN,2019,168808
IDN,2020,691472
IDN,2021,625045
IDN,2022,139789
IDN,2023,202947
IDN,2024,441606
IMN,2023,5
IND,2010,1411000
IND,2011,1428000
IND,2012,9110000
IND,2013,2088000
IND,2014,3426770
IND,2015,3629931
IND,2016,2389540
IND,2017,1346140
IND,2018,2675129
IND,2019,5016410
IND,2020,3856784
IND,2021,4902636
IND,2022,2505930
IND,2023,523176
IND,2024,5429025
IRL,2015,1600
IRL,2017,62
IRL,2020,51
IRL,2021,25
IRL,2022,26
IRL,2023,17
IRL,2024,7
IRN,2013,2200
IRN,2015,5400
IRN,2016,78
IRN,2017,21012
IRN,2018,25546
IRN,2019,505120
IRN,2020,37397
IRN,2021,16230
IRN,2022,30300
IRN,2023,18611
IRN,2024,22284
IRQ,2011,2000
IRQ,2013,7900
IRQ,2015,22000
IRQ,2018,63620
IRQ,2019,37000
IRQ,2020,1240
IRQ,2021,9500
IRQ,2022,51000
IRQ,2023,36790
IRQ,2024,45930
ISL,2017,120
ISL,2020,590
ISL,2021,219
ISL,2022,56
ISL,2023,920
ISL,2024,5
ISR,2013,200
ISR,2014,700
ISR,2016,75210
ISR,2018,80
ISR,2019,1230
ISR,2020,10394
ISR,2021,3870
ISR,2023,42
ITA,2012,800
ITA,2013,2700
ITA,2014,1600
ITA,2015,1321
ITA,2016,950
ITA,2017,2053
ITA,2018,2684
ITA,2019,3100
ITA,2020,1948
ITA,2021,2344
ITA,2022,3953
ITA,2023,42176
ITA,2024,8612
JAM,2012,2000
JAM,2016,7024
JAM,2017,29
JAM,2018,7
JAM,2020,2
JAM,2021,16
JAM,2024,1800
JEY,2023,84
JOR,2013,420
JOR,2017,160
JOR,2018,2000
JOR,2019,46
JOR,2020,140
JOR,2023,339
JPN,2010,85000
JPN,2011,400000
JPN,2012,308000
JPN,2013,638613
JPN,2014,707014
JPN,2015,484926
JPN,2016,663444
JPN,2017,20770
JPN,2018,130107
JPN,2019,263641
JPN,2020,186000
JPN,2021,13035
JPN,2022,48721
JPN,2023,8430
JPN,2024,45994
KAZ,2010,5000
KAZ,2011,9000
KAZ,2012,5100
KAZ,2013,330
KAZ,2015,19000
KAZ,2016,1000
KAZ,2017,7100
KAZ,2018,400
KAZ,2020,32000
KAZ,2021,141
KAZ,2022,3971
KAZ,2023,1751
KAZ,2024,120053
KEN,2010,53500
KEN,2011,19000
KEN,2012,97910
KEN,2013,180600
KEN,2014,1400
KEN,2015,105590
KEN,2016,49000
KEN,2017,35616
KEN,2018,336758
KEN,2019,74048
KEN,2020,335326
KEN,2021,36202
KEN,2022,316298
KEN,2023,641004
KEN,2024,314641
KGZ,2015,121
KGZ,2016,39
KGZ,2017,220
KGZ,2018,4710
KGZ,2021,116
KGZ,2022,1720
KGZ,2023,47
KGZ,2024,4602
KHM,2010,32000
KHM,2011,214000
KHM,2013,144450
KHM,2014,148910
KHM,2015,8802
KHM,2016,8250
KHM,2017,15093
KHM,2018,37169
KHM,2019,69878
KHM,2020,66480
KHM,2021,14653
KHM,2022,28631
KHM,2023,46188
KHM,2024,10600
KIR,2015,2500
KNA,2017,33
KOR,2011,5500
KOR,2013,4225
KOR,2016,7456
KOR,2017,3020
KOR,2018,1084
KOR,2019,5590
KOR,2020,19245
KOR,2021,2774
KOR,2022,30556
KOR,2023,40313
KOR,2024,10526
KWT,2022,14
LAO,2011,50000
LAO,2013,9950
LAO,2014,790
LAO,2015,12049
LAO,2016,660
LAO,2017,190
LAO,2018,19020
LAO,2019,102000
LAO,2020,12004
LAO,2021,5
LAO,2022,560
LAO,2023,1100
LAO,2024,3400
LBN,2014,1300
LBN,2015,110
LBN,2019,4300
LBN,2021,847
LBN,2022,35
LBN,2023,172
LBN,2024,2332
LBR,2014,650
LBR,2016,10000
LBR,2017,970
LBR,2018,15100
LBR,2019,600
LBR,2020,3710
LBR,2023,14320
LBR,2024,22000
LBY,2013,3000
LBY,2019,4600
LBY,2021,1200
LBY,2023,52470
LBY,2024,12700
LCA,2013,1200
LCA,2016,260
LCA,2019,25
LCA,2022,560
LCA,2024,27
LKA,2010,141380
LKA,2011,684810
LKA,2012,129300
LKA,2013,323965
LKA,2014,151800
LKA,2015,65570
LKA,2016,500200
LKA,2017,135320
LKA,2018,112831
LKA,2019,86853
LKA,2020,19347
LKA,2021,121240
LKA,2022,10874
LKA,2023,16406
LKA,2024,83155
LSO,2010,5000
LSO,2011,3400
LSO,2014,2600
LSO,2018,1400
LSO,2021,730
LSO,2023,770
LTU,2024,4
LUX,2019,190
LUX,2020,2
LUX,2021,560
LVA,2018,24
LVA,2022,27
LVA,2024,6
MAC,2018,5600
MAC,2020,2823
MAC,2021,37
MAC,2023,3113
MAF,2017,11000
MAR,2010,15000
MAR,2014,1700
MAR,2019,202
MAR,2020,340
MAR,2021,10
MAR,2022,9500
MAR,2023,310
MAR,2024,273
MDA,2024,166
MDG,2010,38000
MDG,2011,26000
MDG,2012,268000
MDG,2013,20000
MDG,2014,2800
MDG,2015,86800
MDG,2016,51000
MDG,2017,248200
MDG,2018,76898
MDG,2019,22737
MDG,2020,74380
MDG,2021,20840
MDG,2022,290470
MDG,2023,117823
MDG,2024,59497
MDV,2017,76
MDV,2018,20
MDV,2019,294
MDV,2022,370
MDV,2023,54
MDV,2024,243
MEX,2010,900300
MEX,2011,546800
MEX,2012,2500
MEX,2013,158330
MEX,2014,18300
MEX,2015,90460
MEX,2016,11516
MEX,2017,2710
MEX,2018,20170
MEX,2019,14383
MEX,2020,101191
MEX,2021,18637
MEX,2022,7704
MEX,2023,195892
MEX,2024,52820
MHL,2014,1200
MHL,2019,200
MHL,2022,28
MHL,2024,315
MKD,2013,1600
MKD,2018,50
MKD,2021,80
MKD,2024,2
MLI,2010,5800
MLI,2011,18000
MLI,2012,9000
MLI,2013,23500
MLI,2015,400
MLI,2016,8000
MLI,2017,6800
MLI,2018,19000
MLI,2019,6690
