economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
ABW,2011,0.0203949029261921,36.0007394161429,25712.3843015186,102591.0,0.0,0.0,0.0204920878910203,35.8387034450523,24093.1401510626,0.0,0.0,10.089723942654846,0.0,0
ABW,2012,0.0214687486582032,36.1747914800401,25119.6655449838,104110.0,0.0,0.0,0.0203949029261921,36.0007394161429,25712.3843015186,0.0,0.0,10.154766925261653,0.0,0
ABW,2013,0.0178174631618829,36.3617085644674,25813.5714408438,105675.0,0.0,0.0,0.0214687486582032,36.1747914800401,25119.6655449838,0.0,0.0,10.13144611485631,0.0,0
ABW,2014,0.0148129732019303,36.5607468696205,26129.8390617693,106807.0,0.0,0.0,0.0178174631618829,36.3617085644674,25813.5714408438,0.0,0.0,10.158694396007784,0.0,0
ABW,2015,0.0125197907912791,36.7711625956947,27458.2201537506,107906.0,0.0,0.0,0.0148129732019303,36.5607468696205,26129.8390617693,0.0,0.0,10.170871469050365,0.0,0
ABW,2016,0.018611754127868,36.9922119428858,27441.5502144601,108727.0,0.0,0.0,0.0125197907912791,36.7711625956947,27458.2201537506,0.0,0.0,10.220457279565109,0.0,0
ABW,2017,0.023918578557175,37.2231511113891,28440.0416881491,108735.0,0.0,0.0,0.018611754127868,36.9922119428858,27441.5502144601,0.0,0.0,10.219850015366124,0.0,0
ABW,2018,0.0222530069695395,37.4632363014004,30082.1584226798,108908.0,0.0,0.0,0.023918578557175,37.2231511113891,28440.0416881491,0.0,0.0,10.255588510818454,0.0,0
ABW,2019,0.0184193332670534,37.711723713115,30654.4851235397,109203.0,0.0,0.0,0.0222530069695395,37.4632363014004,30082.1584226798,0.0,0.0,10.311720773305565,0.0,0
ABW,2020,0.0215538601290844,37.9971162433635,22664.3709949437,108587.0,0.0,0.0,0.0184193332670534,37.711723713115,30654.4851235397,0.0,0.0,10.330566885337912,0.0,0
ABW,2021,0.029903187516918,38.0724660113157,26827.3447869986,107700.0,0.0,0.0,0.0215538601290844,37.9971162433635,22664.3709949437,0.0,0.0,10.028593531868548,0.0,0
ABW,2022,0.0341749381905228,38.1188342075743,31000.5713798732,107310.0,0.0,0.0,0.029903187516918,38.0724660113157,26827.3447869986,0.0,0.0,10.197214248896348,0.0,0
ABW,2023,0.0395294607296221,38.1648507324411,34897.6183932009,107359.0,0.0,0.0,0.0341749381905228,38.1188342075743,31000.5713798732,0.0,0.0,10.341793171855935,0.0,0
AFG,2011,23.7436639877543,77.1794308427515,606.694676337726,29347708.0,3000.0,10.22226335358114,26.2100685374552,77.7385200989076,560.621505463146,247.48896809085844,247.48896809085844,6.330828145182043,2.41789960466892,0
AFG,2012,24.390873626371,76.6565608689021,651.417134470046,30560034.0,24940.0,81.60985684767235,23.7436639877543,77.1794308427515,606.694676337726,10.22226335358114,128.8556157222198,6.409672578756921,4.414129005703676,0
